groupId,count,score,text
1739991429000000076,1186,4.51,duration=* policy_id=* service=tcp/port:* proto=* src zone=Trust dst zone=* action=Permit sent=* rcvd=* src=192.168.48.52 dst=* src_port=* dst_port=* src-xlated ip=* port=* dst-xlated ip=* port=* session_id=* reason=Close - TCP RST
1739990997000000065,1116,4.81,duration=* policy_id=* service=* (*) proto=* src zone=Trust dst zone=Untrust action=Deny sent=* rcvd=* src=192.168.48.33 dst=* src_port=* dst_port=* session_id=* reason=Traffic Denied
1739990713000000046,966,4.69,duration=* policy_id=* service=* * *(tcp) proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=* dst=192.168.14.245 src_port=* dst_port=* src-xlated ip=* port=* dst-xlated ip=192.168.14.245 port=* session_id=* reason=Close - AGE OUT
1745661606000000001,974,0.00,duration=* policy_id=* service=* proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=192.168.48.52 dst=* src_port=* dst_port=* src-xlated ip=192.168.48.52 port=* dst-xlated ip=* port=* session_id=* reason=Close - RESP
1742905928000000002,930,4.54,duration=* policy_id=* service=http proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=192.168.48.52 dst=* src_port=* dst_port=* src-xlated ip=192.168.48.52 port=* dst-xlated ip=* port=* session_id=* reason=Close - * *
1739991079000000071,915,4.61,duration=* policy_id=* service=* proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=* dst=192.168.1.235 src_port=* dst_port=* src-xlated ip=* port=* dst-xlated ip=192.168.1.235 port=* session_id=* reason=Close - TCP FIN
1739991789000000006,912,4.59,duration=* policy_id=* service=https proto=* src zone=Trust dst zone=* action=Permit sent=* rcvd=* src=192.168.48.51 dst=* src_port=* dst_port=* src-xlated ip=* port=* dst-xlated ip=* port=* session_id=* reason=Close - TCP RST
1739990803000000060,889,4.59,duration=* policy_id=* service=* proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=* dst=192.168.14.244 src_port=* dst_port=* src-xlated ip=* port=* dst-xlated ip=192.168.14.244 port=* session_id=* reason=Close - TCP FIN
1745196963000000001,875,4.57,duration=* policy_id=* service=* proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=192.168.48.133 dst=* src_port=* dst_port=* src-xlated ip=192.168.48.133 port=* dst-xlated ip=* port=* session_id=* reason=Close - TCP FIN
1745484545000000001,862,0.00,duration=* policy_id=* service=* proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=* dst=192.168.14.244 src_port=* dst_port=* src-xlated ip=* port=* dst-xlated ip=192.168.14.244 port=* session_id=* reason=Close - TCP RST
1739990635000000023,853,4.77,duration=* policy_id=* service=*/port:* proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=* dst=192.168.1.235 src_port=* dst_port=* src-xlated ip=* port=* dst-xlated ip=192.168.1.235 port=* session_id=* reason=Close - AGE OUT
1739990711000000045,815,4.53,duration=* policy_id=* service=tcp/port:* proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=* dst=* src_port=* dst_port=* src-xlated ip=* port=* dst-xlated ip=* port=* session_id=* reason=Close - AGE OUT
1739992943000000021,815,4.64,duration=* policy_id=* service=* proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=* dst=192.168.14.246 src_port=* dst_port=* src-xlated ip=* port=* dst-xlated ip=192.168.14.246 port=* session_id=* reason=Close - TCP FIN
1739991065000000069,785,4.69,duration=* policy_id=* service=* * proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=192.168.48.52 dst=* src_port=* dst_port=* src-xlated ip=192.168.48.52 port=* dst-xlated ip=* port=* session_id=* reason=Close - AGE OUT
1739990737000000049,783,4.71,duration=* policy_id=* service=* * proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=192.168.48.132 dst=* src_port=* dst_port=* src-xlated ip=192.168.48.132 port=* dst-xlated ip=* port=* session_id=* reason=Close - AGE OUT
1739990743000000050,781,4.70,duration=* policy_id=* service=* * proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=192.168.48.51 dst=* src_port=* dst_port=* src-xlated ip=192.168.48.51 port=* dst-xlated ip=* port=* session_id=* reason=Close - AGE OUT
1745795101000000002,786,4.66,duration=* policy_id=* service=* * *(tcp) proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=192.168.48.33 dst=192.168.14.245 src_port=* dst_port=* src-xlated ip=192.168.48.33 port=* dst-xlated ip=192.168.14.245 port=* session_id=* reason=Close - * *
1739991089000000072,779,4.77,duration=* policy_id=* service=* * *(tcp) proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=* dst=192.168.1.235 src_port=* dst_port=* src-xlated ip=* port=* dst-xlated ip=192.168.1.235 port=* session_id=* reason=Close - AGE OUT
1739991795000000007,749,4.59,duration=* policy_id=* service=https proto=* src zone=Trust dst zone=* action=Permit sent=* rcvd=* src=192.168.48.52 dst=* src_port=* dst_port=* src-xlated ip=* port=* dst-xlated ip=* port=* session_id=* reason=Close - TCP RST
1744456319000000003,683,4.66,duration=* policy_id=* service=*/port:* proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=192.168.48.33 dst=* src_port=* dst_port=* src-xlated ip=192.168.48.33 port=* dst-xlated ip=* port=* session_id=* reason=Close - AGE OUT
1745312494000000001,605,4.66,duration=* policy_id=* service=udp/port:* proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=* dst=* src_port=* dst_port=* src-xlated ip=* port=* dst-xlated ip=* port=* session_id=* reason=Close - AGE OUT
1745155036000000001,606,4.73,duration=* policy_id=* service=* * *(tcp) proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=192.168.48.133 dst=* src_port=* dst_port=* src-xlated ip=192.168.48.133 port=* dst-xlated ip=* port=* session_id=* reason=Close - AGE OUT
1745262369000000002,600,4.61,duration=* policy_id=* service=* proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=192.168.48.123 dst=* src_port=* dst_port=* src-xlated ip=192.168.48.123 port=* dst-xlated ip=* port=* session_id=* reason=Close - TCP FIN
1743903178000000001,588,4.75,duration=* policy_id=* service=* * *(tcp) proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=192.168.48.130 dst=* src_port=* dst_port=* src-xlated ip=192.168.48.130 port=* dst-xlated ip=* port=* session_id=* reason=Close - AGE OUT
1745155350000000002,563,4.73,duration=* policy_id=* service=*/port:* proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=192.168.48.133 dst=* src_port=* dst_port=* src-xlated ip=192.168.48.133 port=* dst-xlated ip=* port=* session_id=* reason=Close - AGE OUT
1745296454000000002,523,0.00,duration=* policy_id=* service=* * *(tcp) proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=192.168.48.34 dst=* src_port=* dst_port=* src-xlated ip=192.168.48.34 port=* dst-xlated ip=* port=* session_id=* reason=Close - AGE OUT
1745600402000000001,512,0.00,duration=* policy_id=* service=icmp proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=192.168.48.33 dst=* icmp type=* icmp code=* src-xlated ip=192.168.48.33 dst-xlated ip=* session_id=* reason=Close - RESP
1745740825000000001,512,0.00,duration=* policy_id=* service=* proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=* dst=192.168.14.245 src_port=* dst_port=* src-xlated ip=* port=* dst-xlated ip=192.168.14.245 port=* session_id=* reason=Close - TCP RST
1745088946000000001,468,4.55,duration=* policy_id=* service=http proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=192.168.48.51 dst=* src_port=* dst_port=* src-xlated ip=192.168.48.51 port=* dst-xlated ip=* port=* session_id=* reason=Close - * *
1744990429000000005,442,0.00,duration=* policy_id=* service=*/port:* proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=192.168.48.34 dst=* src_port=* dst_port=* src-xlated ip=192.168.48.34 port=* dst-xlated ip=* port=* session_id=* reason=Close - AGE OUT
1745296442000000001,419,0.00,duration=* policy_id=* service=* proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=192.168.48.34 dst=* src_port=* dst_port=* src-xlated ip=192.168.48.34 port=* dst-xlated ip=* port=* session_id=* reason=Close - TCP FIN
1745625844000000001,391,4.71,duration=* policy_id=* service=* * proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=192.168.48.41 dst=* src_port=* dst_port=* src-xlated ip=192.168.48.41 port=* dst-xlated ip=* port=* session_id=* reason=Close - AGE OUT
1739992527000000018,365,4.80,duration=* policy_id=* service=* * *(tcp) proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=* dst=192.168.14.246 src_port=* dst_port=* src-xlated ip=* port=* dst-xlated ip=192.168.14.246 port=* session_id=* reason=Close - AGE OUT
1745681181000000001,360,0.00,duration=* policy_id=* service=* proto=* src zone=Trust dst zone=Private action=Deny sent=* rcvd=* src=192.168.48.51 dst=* src_port=* dst_port=* session_id=* reason=Traffic Denied
1739991605000000002,346,4.75,duration=* policy_id=* service=* proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=192.168.48.84 dst=* src_port=* dst_port=* src-xlated ip=192.168.48.84 port=* dst-xlated ip=* port=* session_id=* reason=Close - TCP FIN
1739991003000000067,344,4.76,duration=* policy_id=* service=* proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=192.168.48.82 dst=* src_port=* dst_port=* src-xlated ip=192.168.48.82 port=* dst-xlated ip=* port=* session_id=* reason=Close - TCP FIN
1739992395000000016,296,4.75,duration=* policy_id=* service=*/port:* proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=192.168.48.130 dst=* src_port=* dst_port=* src-xlated ip=192.168.48.130 port=* dst-xlated ip=* port=* session_id=* reason=Close - AGE OUT
1739995646000000001,280,13.55,SNMP request has been received from an unknown host in SNMP community public at 192.168.1.20:60241.
1739992337000000014,268,0.00,duration=* policy_id=* service=* proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=192.168.48.130 dst=* src_port=* dst_port=* src-xlated ip=192.168.48.130 port=* dst-xlated ip=* port=* session_id=* reason=Close - TCP FIN
1745700299000000001,259,4.65,duration=* policy_id=* service=*/port:* proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=192.168.48.33 dst=192.168.14.245 src_port=* dst_port=* src-xlated ip=192.168.48.33 port=* dst-xlated ip=192.168.14.245 port=* session_id=* reason=Close - * *
